,,PLC -> PC,,,,,,PLC <- PC,,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,,
M064 ,M264 NON_SELECT:0/SELECT:1,M,064,100,MANU-SOL 37,,100,M,264,420,MANU-SOL 37,NON_SELECT:0/SELECT:1,
M065 ,M265 NON_SELECT:0/SELECT:1,M,065,101,MANU-SOL 38,,101,M,265,421,MANU-SOL 38,NON_SELECT:0/SELECT:1,
M066 ,M266 NON_SELECT:0/SELECT:1,M,066,102,MANU-SOL 39,,102,M,266,422,MANU-SOL 39,NON_SELECT:0/SELECT:1,
M067 ,M267 NON_SELECT:0/SELECT:1,M,067,103,MANU-SOL 40,,103,M,267,423,MANU-SOL 40,NON_SELECT:0/SELECT:1,
M068 ,M268 ,M,068,104,,,104,M,268,424,,,
M069 ,M269 ,M,069,105,,,105,M,269,425,,,
M06A ,M26A ,M,06A,106,,,106,M,26A,426,,,
M06B ,M26B ,M,06B,107,,,107,M,26B,427,,,
M06C ,M26C ,M,06C,108,,,108,M,26C,428,,,
M06D ,M26D ,M,06D,109,,,109,M,26D,429,,,
M06E ,M26E ,M,06E,110,,,110,M,26E,430,,,
M06F ,M26F ,M,06F,111,,,111,M,26F,431,,,
M070 ,M270 에어블로시간설정DATA2^0,M,070,112,,,112,M,270,432,,에어블로시간설정DATA2^0,
M071 ,M271 에어블로시간설정DATA2^1,M,071,113,,,113,M,271,433,,에어블로시간설정DATA2^1,
M072 ,M272 에어블로시간설정DATA2^2,M,072,114,,,114,M,272,434,,에어블로시간설정DATA2^2,
M073 ,M273 에어블로시간설정DATA2^3,M,073,115,,,115,M,273,435,,에어블로시간설정DATA2^3,
M074 ,M274 에어블로시간설정DATA2^4,M,074,116,,,116,M,274,436,,에어블로시간설정DATA2^4,
M075 ,M275 에어블로시간설정DATA2^5,M,075,117,,,117,M,275,437,,에어블로시간설정DATA2^5,
M076 ,M276 에어블로시간설정DATA2^6,M,076,118,,,118,M,276,438,,에어블로시간설정DATA2^6,
M077 ,M277 에어블로시간설정DATA2^7,M,077,119,,,119,M,277,439,,에어블로시간설정DATA2^7,
M078 ,M278 에어블로시간설정DATA2^8,M,078,120,,,120,M,278,440,,에어블로시간설정DATA2^8,
M079 ,M279 에어블로시간설정DATA2^9,M,079,121,,,121,M,279,441,,에어블로시간설정DATA2^9,
M07A ,M27A 에어블로시간설정DATA2^10,M,07A,122,,,122,M,27A,442,,에어블로시간설정DATA2^10,
M07B ,M27B 에어블로시간설정DATA2^11,M,07B,123,,,123,M,27B,443,,에어블로시간설정DATA2^11,
M07C ,M27C 에어블로시간설정DATA2^12,M,07C,124,,,124,M,27C,444,,에어블로시간설정DATA2^12,
M07D ,M27D 에어블로시간설정DATA2^13,M,07D,125,,,125,M,27D,445,,에어블로시간설정DATA2^13,
M07E ,M27E 에어블로시간설정DATA2^14,M,07E,126,,,126,M,27E,446,,에어블로시간설정DATA2^14,
M07F ,M27F 에어블로시간설정DATA2^15,M,07F,127,,,127,M,27F,447,,에어블로시간설정DATA2^15,
M080 ,M280 ,M,080,128,,,128,M,280,448,,,
M081 ,M281 ,M,081,129,,,129,M,281,449,,,
M082 ,M282 ,M,082,130,,,130,M,282,450,,,
M083 ,M283 ,M,083,131,,,131,M,283,451,,,
M084 ,M284 ,M,084,132,,,132,M,284,452,,,
M085 ,M285 ,M,085,133,,,133,M,285,453,,,
M086 ,M286 ,M,086,134,,,134,M,286,454,,,
M087 ,M287 ,M,087,135,,,135,M,287,455,,,
M088 ,M288 ,M,088,136,,,136,M,288,456,,,
M089 ,M289 ,M,089,137,,,137,M,289,457,,,
M08A ,M28A ,M,08A,138,,,138,M,28A,458,,,
M08B ,M28B ,M,08B,139,,,139,M,28B,459,,,
M08C ,M28C ,M,08C,140,,,140,M,28C,460,,,
M08D ,M28D ,M,08D,141,,,141,M,28D,461,,,
M08E ,M28E ,M,08E,142,,,142,M,28E,462,,,
M08F ,M28F ,M,08F,143,,,143,M,28F,463,,,
M090 ,M290 ,M,090,144,,,144,M,290,464,,,
M091 ,M291 ,M,091,145,,,145,M,291,465,,,
M092 ,M292 ,M,092,146,,,146,M,292,466,,,
M093 ,M293 ,M,093,147,,,147,M,293,467,,,
M094 ,M294 ,M,094,148,,,148,M,294,468,,,
M095 ,M295 ,M,095,149,,,149,M,295,469,,,
M096 ,M296 ,M,096,150,,,150,M,296,470,,,
M097 ,M297 ,M,097,151,,,151,M,297,471,,,
M098 ,M298 ,M,098,152,,,152,M,298,472,,,
M099 ,M299 ,M,099,153,,,153,M,299,473,,,
M09A ,M29A ,M,09A,154,,,154,M,29A,474,,,
M09B ,M29B ,M,09B,155,,,155,M,29B,475,,,
M09C ,M29C ,M,09C,156,,,156,M,29C,476,,,
M09D ,M29D ,M,09D,157,,,157,M,29D,477,,,
M09E ,M29E ,M,09E,158,,,158,M,29E,478,,,
M09F ,M29F ,M,09F,159,,,159,M,29F,479,,,
M100 ,M300 ,M,100,160,,,160,M,300,480,,,
M101 ,M301 ,M,101,161,,,161,M,301,481,,,
M102 ,M302 ,M,102,162,,,162,M,302,482,,,
M103 ,M303 ,M,103,163,,,163,M,303,483,,,
M104 ,M304 ,M,104,164,,,164,M,304,484,,,
M105 ,M305 ,M,105,165,,,165,M,305,485,,,
M106 ,M306 ,M,106,166,,,166,M,306,486,,,
M107 ,M307 ,M,107,167,,,167,M,307,487,,,
M108 ,M308 ,M,108,168,,,168,M,308,488,,,
M109 ,M309 ,M,109,169,,,169,M,309,489,,,
M10A ,M30A ,M,10A,170,,,170,M,30A,490,,,
M10B ,M30B ,M,10B,171,,,171,M,30B,491,,,
M10C ,M30C ,M,10C,172,,,172,M,30C,492,,,
M10D ,M30D ,M,10D,173,,,173,M,30D,493,,,
M10E ,M30E ,M,10E,174,,,174,M,30E,494,,,
M10F ,M30F ,M,10F,175,,,175,M,30F,495,,,
M110 ,M310 안전도어 사용 선택,M,110,176,,,176,M,310,496,안전도어 사용 선택,"0:미사용, 1:사용",
M111 ,M311 ,M,111,177,,,177,M,311,497,,,
M112 ,M312 ,M,112,178,,,178,M,312,498,,,
M113 ,M313 ,M,113,179,,,179,M,313,499,,,
M114 ,M314 ,M,114,180,,,180,M,314,500,,,
M115 ,M315 ,M,115,181,,,181,M,315,501,,,
M116 ,M316 ,M,116,182,,,182,M,316,502,,,
M117 ,M317 ,M,117,183,,,183,M,317,503,,,
M118 ,M318 ,M,118,184,,,184,M,318,504,,,
M119 ,M319 ,M,119,185,,,185,M,319,505,,,
M11A ,M31A ,M,11A,186,,,186,M,31A,506,,,
M11B ,M31B ,M,11B,187,,,187,M,31B,507,,,
M11C ,M31C ,M,11C,188,,,188,M,31C,508,,,
M11D ,M31D ,M,11D,189,,,189,M,31D,509,,,
M11E ,M31E ,M,11E,190,,,190,M,31E,510,,,
M11F ,M31F ,M,11F,191,,,191,M,31F,511,,,
M120 ,M320 ,M,120,192,,,192,M,320,512,,,
M121 ,M321 ,M,121,193,,,193,M,321,513,,,
M122 ,M322 ,M,122,194,,,194,M,322,514,,,
M123 ,M323 ,M,123,195,,,195,M,323,515,,,
M124 ,M324 ,M,124,196,,,196,M,324,516,,,
M125 ,M325 ,M,125,197,,,197,M,325,517,,,
M126 ,M326 ,M,126,198,,,198,M,326,518,,,
M127 ,M327 ,M,127,199,,,199,M,327,519,,,
M128 ,M328 ,M,128,200,,,200,M,328,520,,,
M129 ,M329 ,M,129,201,,,201,M,329,521,,,
M12A ,M32A ,M,12A,202,,,202,M,32A,522,,,
M12B ,M32B ,M,12B,203,,,203,M,32B,523,,,
M12C ,M32C ,M,12C,204,,,204,M,32C,524,,,
M12D ,M32D ,M,12D,205,,,205,M,32D,525,,,
M12E ,M32E ,M,12E,206,,,206,M,32E,526,,,
