,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M04B MANU-SOL 6 ACT,M24B MANU-SOL 12,M,04B,075,MANU-SOL 6 ACT,ACT,,M,24B,395,MANU-SOL 12,NON_SELECT:0/SELECT:1
M04C MANU-SOL 7 HOME,M24C MANU-SOL 13,M,04C,076,MANU-SOL 7 HOME,HOME,,M,24C,396,MANU-SOL 13,NON_SELECT:0/SELECT:1
M04D MANU-SOL 7 ACT,M24D MANU-SOL 14,M,04D,077,MANU-SOL 7 ACT,ACT,,M,24D,397,MANU-SOL 14,NON_SELECT:0/SELECT:1
M04E MANU-SOL 8 HOME,M24E MANU-SOL 15,M,04E,078,MANU-SOL 8 HOME,HOME,,M,24E,398,MANU-SOL 15,NON_SELECT:0/SELECT:1
M04F MANU-SOL 8 ACT,M24F MANU-SOL 16,M,04F,079,MANU-SOL 8 ACT,ACT,,M,24F,399,MANU-SOL 16,NON_SELECT:0/SELECT:1
M050 MANU-SOL 9 HOME,M250 MANU-SOL 17,M,050,080,MANU-SOL 9 HOME,HOME,,M,250,400,MANU-SOL 17,NON_SELECT:0/SELECT:1
M051 MANU-SOL 9 ACT,M251 MANU-SOL 18,M,051,081,MANU-SOL 9 ACT,ACT,,M,251,401,MANU-SOL 18,NON_SELECT:0/SELECT:1
M052 MANU-SOL 10 HOME,M252 MANU-SOL 19,M,052,082,MANU-SOL 10 HOME,HOME,,M,252,402,MANU-SOL 19,NON_SELECT:0/SELECT:1
M053 MANU-SOL 10 ACT,M253 MANU-SOL 20,M,053,083,MANU-SOL 10 ACT,ACT,,M,253,403,MANU-SOL 20,NON_SELECT:0/SELECT:1
M054 MANU-SOL 11 HOME,M254 MANU-SOL 21,M,054,084,MANU-SOL 11 HOME,HOME,,M,254,404,MANU-SOL 21,NON_SELECT:0/SELECT:1
M055 MANU-SOL 11 ACT,M255 MANU-SOL 22,M,055,085,MANU-SOL 11 ACT,ACT,,M,255,405,MANU-SOL 22,NON_SELECT:0/SELECT:1
M056 MANU-SOL 12 HOME,M256 MANU-SOL 23,M,056,086,MANU-SOL 12 HOME,HOME,,M,256,406,MANU-SOL 23,NON_SELECT:0/SELECT:1
M057 MANU-SOL 12 ACT,M257 MANU-SOL 24,M,057,087,MANU-SOL 12 ACT,ACT,,M,257,407,MANU-SOL 24,NON_SELECT:0/SELECT:1
M058 MANU-SOL 13 HOME,M258 MANU-SOL 25,M,058,088,MANU-SOL 13 HOME,HOME,,M,258,408,MANU-SOL 25,NON_SELECT:0/SELECT:1
M059 MANU-SOL 13 ACT,M259 MANU-SOL 26,M,059,089,MANU-SOL 13 ACT,ACT,,M,259,409,MANU-SOL 26,NON_SELECT:0/SELECT:1
M05A MANU-SOL 14 HOME,M25A MANU-SOL 27,M,05A,090,MANU-SOL 14 HOME,HOME,,M,25A,410,MANU-SOL 27,NON_SELECT:0/SELECT:1
M05B MANU-SOL 14 ACT,M25B MANU-SOL 28,M,05B,091,MANU-SOL 14 ACT,ACT,,M,25B,411,MANU-SOL 28,NON_SELECT:0/SELECT:1
M05C MANU-SOL 15 HOME,M25C MANU-SOL 29,M,05C,092,MANU-SOL 15 HOME,HOME,,M,25C,412,MANU-SOL 29,NON_SELECT:0/SELECT:1
M05D MANU-SOL 15 ACT,M25D MANU-SOL 30,M,05D,093,MANU-SOL 15 ACT,ACT,,M,25D,413,MANU-SOL 30,NON_SELECT:0/SELECT:1
M05E MANU-SOL 16 HOME,M25E MANU-SOL 31,M,05E,094,MANU-SOL 16 HOME,HOME,,M,25E,414,MANU-SOL 31,NON_SELECT:0/SELECT:1
M05F MANU-SOL 16 ACT,M25F MANU-SOL 32,M,05F,095,MANU-SOL 16 ACT,ACT,,M,25F,415,MANU-SOL 32,NON_SELECT:0/SELECT:1
M060 MANU-SOL 17 HOME,M260 MANU-SOL 33,M,060,096,MANU-SOL 17 HOME,HOME,,M,260,416,MANU-SOL 33,NON_SELECT:0/SELECT:1
M061 MANU-SOL 17 ACT,M261 MANU-SOL 34,M,061,097,MANU-SOL 17 ACT,ACT,,M,261,417,MANU-SOL 34,NON_SELECT:0/SELECT:1
M062 MANU-SOL 18 HOME,M262 MANU-SOL 35,M,062,098,MANU-SOL 18 HOME,HOME,,M,262,418,MANU-SOL 35,NON_SELECT:0/SELECT:1
M063 MANU-SOL 18 ACT,M263 MANU-SOL 36,M,063,099,MANU-SOL 18 ACT,ACT,,M,263,419,MANU-SOL 36,NON_SELECT:0/SELECT:1
M064 MANU-SOL 19 HOME,M264 MANU-SOL 37,M,064,100,MANU-SOL 19 HOME,HOME,,M,264,420,MANU-SOL 37,NON_SELECT:0/SELECT:1
M065 MANU-SOL 19 ACT,M265 MANU-SOL 38,M,065,101,MANU-SOL 19 ACT,ACT,,M,265,421,MANU-SOL 38,NON_SELECT:0/SELECT:1
M066 MANU-SOL 20 HOME,M266 MANU-SOL 39,M,066,102,MANU-SOL 20 HOME,HOME,,M,266,422,MANU-SOL 39,NON_SELECT:0/SELECT:1
M067 MANU-SOL 20 ACT,M267 MANU-SOL 40,M,067,103,MANU-SOL 20 ACT,ACT,,M,267,423,MANU-SOL 40,NON_SELECT:0/SELECT:1
M068 MANU-SOL 21 HOME,M268 ,M,068,104,MANU-SOL 21 HOME,HOME,,M,268,424,,
M069 MANU-SOL 21 ACT,M269 ,M,069,105,MANU-SOL 21 ACT,ACT,,M,269,425,,
M06A MANU-SOL 22 HOME,M26A ,M,06A,106,MANU-SOL 22 HOME,HOME,,M,26A,426,,
M06B MANU-SOL 22 ACT,M26B ,M,06B,107,MANU-SOL 22 ACT,ACT,,M,26B,427,,
M06C MANU-SOL 23 HOME,M26C ,M,06C,108,MANU-SOL 23 HOME,HOME,,M,26C,428,,
M06D MANU-SOL 23 ACT,M26D ,M,06D,109,MANU-SOL 23 ACT,ACT,,M,26D,429,,
M06E MANU-SOL 24 HOME,M26E ,M,06E,110,MANU-SOL 24 HOME,HOME,,M,26E,430,,
M06F MANU-SOL 24 ACT,M26F ,M,06F,111,MANU-SOL 24 ACT,ACT,,M,26F,431,,
M070 MANU-SOL 25 HOME,M270 ,M,070,112,MANU-SOL 25 HOME,HOME,,M,270,432,,
M071 MANU-SOL 25 ACT,M271 ,M,071,113,MANU-SOL 25 ACT,ACT,,M,271,433,,
M072 MANU-SOL 26 HOME,M272 ,M,072,114,MANU-SOL 26 HOME,HOME,,M,272,434,,
M073 MANU-SOL 26 ACT,M273 ,M,073,115,MANU-SOL 26 ACT,ACT,,M,273,435,,
M074 MANU-SOL 27 HOME,M274 ,M,074,116,MANU-SOL 27 HOME,HOME,,M,274,436,,
